# code;@EAN_CODE;@WIDTH;@HEIGHT;@DEPTH;@GROSS_WEIGHT;catalogVersion
Evaporadora_2415;7898554872425;1195;233;628;26,1;centralArProductCatalog:Online
Evaporadora_2433;0751320797964;698;255;190;6,5;centralArProductCatalog:Staged
Evaporadora_2433;0751320797964;698;255;190;6,5;centralArProductCatalog:Online
Evaporadora_2435;0751320797988;910;294;206;10;centralArProductCatalog:Staged
Evaporadora_2435;0751320797988;910;294;206;10;centralArProductCatalog:Online
Evaporadora_2436;0751320797995;1010;315;220;13;centralArProductCatalog:Staged
Evaporadora_2436;0751320797995;1010;315;220;13;centralArProductCatalog:Online
Evaporadora_2443;7898461970085;400;795;480;28,5;centralArProductCatalog:Staged
Evaporadora_2443;7898461970085;400;795;480;28,5;centralArProductCatalog:Online
Evaporadora_2448;0751320797599;840;288;840;40;centralArProductCatalog:Staged
Evaporadora_2448;0751320797599;840;288;840;40;centralArProductCatalog:Online
Evaporadora_2449;0751320797391;1000;230;680;26;centralArProductCatalog:Staged
Evaporadora_2449;0751320797391;1000;230;680;26;centralArProductCatalog:Online
Evaporadora_2459;7898554872371;1195;233;628;30,7;centralArProductCatalog:Staged
Evaporadora_2459;7898554872371;1195;233;628;30,7;centralArProductCatalog:Online
Evaporadora_2462;7898554873286;460;325;500;25;centralArProductCatalog:Staged
Evaporadora_2462;7898554873286;460;325;500;25;centralArProductCatalog:Online
Evaporadora_2467;7898554872364;1200;230;700;28,7;centralArProductCatalog:Staged
Evaporadora_2467;7898554872364;1200;230;700;28,7;centralArProductCatalog:Online
Evaporadora_2468;7898554873477;1200;230;700;28,7;centralArProductCatalog:Staged
Evaporadora_2468;7898554873477;1200;230;700;28,7;centralArProductCatalog:Online
Evaporadora_2480;7898554873446;1200;230;700;28,7;centralArProductCatalog:Staged
Evaporadora_2480;7898554873446;1200;230;700;28,7;centralArProductCatalog:Online
Evaporadora_2482;7898554873453;1650;230;700;40,3;centralArProductCatalog:Staged
Evaporadora_2482;7898554873453;1650;230;700;40,3;centralArProductCatalog:Online
Evaporadora_2484;7898554873446;840;245;840;24,5;centralArProductCatalog:Staged
Evaporadora_2484;7898554873446;840;245;840;24,5;centralArProductCatalog:Online
Evaporadora_2485;7898554873439;840;287;840;28,1;centralArProductCatalog:Staged
Evaporadora_2485;7898554873439;840;287;840;28,1;centralArProductCatalog:Online
Evaporadora_2491;7898554872449;840;245;840;25;centralArProductCatalog:Staged
Evaporadora_2491;7898554872449;840;245;840;25;centralArProductCatalog:Online
Evaporadora_2502;7898303868693;665;235;1200;36;centralArProductCatalog:Staged
Evaporadora_2502;7898303868693;665;235;1200;36;centralArProductCatalog:Online
Evaporadora_2503;7898554871886;715;285;205;7,3;centralArProductCatalog:Staged
Evaporadora_2503;7898554871886;715;285;205;7,3;centralArProductCatalog:Online
Evaporadora_2504;7898554871916;715;285;205;7,3;centralArProductCatalog:Staged
Evaporadora_2504;7898554871916;715;285;205;7,3;centralArProductCatalog:Online
Evaporadora_2505;7898554871930;805;285;205;8,1;centralArProductCatalog:Staged
Evaporadora_2505;7898554871930;805;285;205;8,1;centralArProductCatalog:Online
Evaporadora_2506;7898554871954;805;285;205;8,1;centralArProductCatalog:Staged
Evaporadora_2506;7898554871954;805;285;205;8,1;centralArProductCatalog:Online
Evaporadora_2507;7898554871961;958;302;223;10,4;centralArProductCatalog:Staged
Evaporadora_2507;7898554871961;958;302;223;10,4;centralArProductCatalog:Online
Evaporadora_2508;7898554871954;958;302;223;10,4;centralArProductCatalog:Staged
Evaporadora_2508;7898554871954;958;302;223;10,4;centralArProductCatalog:Online
Evaporadora_2509;7898554872005;1038;325;235;13,1;centralArProductCatalog:Staged
Evaporadora_2509;7898554872005;1038;325;235;13,1;centralArProductCatalog:Online
Evaporadora_2510;7898554872036;1038;325;235;13,1;centralArProductCatalog:Staged
Evaporadora_2510;7898554872036;1038;325;235;13,1;centralArProductCatalog:Online
Evaporadora_2512;7898626575018;840;245;840;25;centralArProductCatalog:Staged
Evaporadora_2512;7898626575018;840;245;840;25;centralArProductCatalog:Online
Evaporadora_2513;7897013539916;900;221;183;13,5;centralArProductCatalog:Staged
Evaporadora_2513;7897013539916;900;221;183;13,5;centralArProductCatalog:Online
Evaporadora_2514;7897013539923;1200;221;183;17;centralArProductCatalog:Staged
Evaporadora_2514;7897013539923;1200;221;183;17;centralArProductCatalog:Online
Evaporadora_2515;7897013539930;1500;221;183;22,4;centralArProductCatalog:Staged
Evaporadora_2515;7897013539930;1500;221;183;22,4;centralArProductCatalog:Online
Evaporadora_2540;7898461970870;910;295;300;10;centralArProductCatalog:Staged
Evaporadora_2540;7898461970870;910;295;300;10;centralArProductCatalog:Online
Evaporadora_2542;7898461970856;780;255;205;7,5;centralArProductCatalog:Staged
Evaporadora_2542;7898461970856;780;255;205;7,5;centralArProductCatalog:Online
Evaporadora_2543;7898461970887;780;255;205;7,5;centralArProductCatalog:Staged
Evaporadora_2543;7898461970887;780;255;205;7,5;centralArProductCatalog:Online
Evaporadora_2544;7898461970900;690;250;205;6,5;centralArProductCatalog:Staged
Evaporadora_2544;7898461970900;690;250;205;6,5;centralArProductCatalog:Online
Evaporadora_2545;7898461970894;690;250;205;6,5;centralArProductCatalog:Staged
Evaporadora_2545;7898461970894;690;250;205;6,5;centralArProductCatalog:Online
Evaporadora_2552;7898303868761;1350;326;253;19,5;centralArProductCatalog:Staged
Evaporadora_2552;7898303868761;1350;326;253;19,5;centralArProductCatalog:Online
Evaporadora_2553;7898303868785;1350;326;253;19,5;centralArProductCatalog:Staged
Evaporadora_2553;7898303868785;1350;326;253;19,5;centralArProductCatalog:Online
Evaporadora_2554;7898461967764;1050;320;240;14;centralArProductCatalog:Staged
Evaporadora_2554;7898461967764;1050;320;240;14;centralArProductCatalog:Online
Evaporadora_2556;7898461970863;910;300;225;10;centralArProductCatalog:Staged
Evaporadora_2556;7898461970863;910;300;225;10;centralArProductCatalog:Online
Evaporadora_2100;7513204079176;840;287;840;30,1;centralArProductCatalog:Staged
Evaporadora_2100;7513204079176;840;287;840;30,1;centralArProductCatalog:Online
Evaporadora_2116;7898626575674;2140;635;265;55;centralArProductCatalog:Staged
Evaporadora_2116;7898626575674;2140;635;265;55;centralArProductCatalog:Online
Evaporadora_2382;7898554872463;1645;233;628;37,6;centralArProductCatalog:Staged
Evaporadora_2382;7898554872463;1645;233;628;37,6;centralArProductCatalog:Online
Evaporadora_2384;7898554872388;1645;233;628;37,6;centralArProductCatalog:Staged
Evaporadora_2384;7898554872388;1645;233;628;37,6;centralArProductCatalog:Online
Evaporadora_2475;7898554872487;1650;230;700;40,3;centralArProductCatalog:Staged
Evaporadora_2475;7898554872487;1650;230;700;40,3;centralArProductCatalog:Online
